Step,GPT,SVD,Sketching
100,2.8724,3.392,15.7773
200,2.8594,3.1151,11.8285
300,2.8288,3.0525,9.6049
400,2.7385,2.9341,8.6329
500,2.7486,2.9413,8.349
600,2.8212,3.0094,8.2614
700,2.7588,2.9337,8.1599
800,2.8302,3.0065,8.1628
900,2.8067,2.9762,8.1279
1000,2.7781,2.9413,8.0721
1100,2.763,2.9249,8.0157
1200,2.7569,2.913,7.9931
1300,2.7269,2.8781,7.927
1400,2.7551,2.9034,7.9487
1500,2.659,2.788,7.926
1600,2.4854,2.6013,7.7384
1700,2.5795,2.7009,7.8199
1800,2.656,2.7778,7.9576
1900,2.6135,2.7249,7.889
2000,2.5641,2.6798,7.8307
2100,2.5305,2.6388,7.7763
2200,2.5299,2.6393,7.7915
2300,2.5849,2.6952,7.807
2400,2.5806,2.6873,7.8586
2500,2.5338,2.6417,7.7932
2600,2.5525,2.6504,7.8063
2700,2.5533,2.6509,7.805
2800,2.5596,2.6594,7.7706
2900,2.529,2.6144,7.7525
3000,2.4629,2.5172,7.7261
3100,2.4656,2.5137,7.7893
3200,2.4759,2.5325,7.7545
3300,2.4651,2.5112,7.7762
3400,2.4561,2.5059,7.7678
3500,2.475,2.5243,7.7719
3600,2.4269,2.4769,7.731
3700,2.4521,2.4959,7.722
3800,2.4162,2.461,7.7223
3900,2.3738,2.4158,7.6309
4000,2.4753,2.5123,7.7559
4100,2.4951,2.541,7.8147
4200,2.4621,2.5075,7.7538
4300,2.4785,2.5215,7.7918
